key=01000011110111      count=216
key=01000011000101      count=216
key=01001010011111      count=216
key=11010010001101      count=215
key=10110100101100      count=215
key=01000100111010      count=214
key=01001110011010      count=214
key=01001010000000      count=214
key=11000111000100      count=214
key=01000101001110      count=214
key=10010000001001      count=214
key=11001010100001      count=214
key=11001000011101      count=212
key=10101101000110      count=212
key=00011011011001      count=212
key=10101000000010      count=211
key=11001001111011      count=211
key=11000111111110      count=211
key=11000000011011      count=211
key=11011000001001      count=211
key=01001100010010      count=211
key=11011001000101      count=210
key=11011000100000      count=210
key=01000101000111      count=210
key=01010000010111      count=210
key=11000001000111      count=210
key=11010101100000      count=210
key=11001010010011      count=210
key=01000010111010      count=209
key=00101001111010      count=209
key=11000111001110      count=209
key=10011111111000      count=209
key=11001011000000      count=209
key=10111110011100      count=208
key=01000000000100      count=208
key=01011110001101      count=208
key=10111011011110      count=208
key=01000001101101      count=207
key=01000000111010      count=207
key=11000111110000      count=206
key=00111010010000      count=206
key=01000000110010      count=206
key=10010100111101      count=205
key=01000111000111      count=205
key=11001000010101      count=204
key=01000101000100      count=204
key=00100101000100      count=204
key=11000000001101      count=204
key=10110010100111      count=204
key=01000000010111      count=204
key=01000010110000      count=204
key=01011111100011      count=203
key=01001101111101      count=203
key=11000111011001      count=203
key=10110110101100      count=203
key=11000001111000      count=203
key=11010010110100      count=202
key=10110010110110      count=202
key=11001000010111      count=202
key=11010010011010      count=202
key=00011011000001      count=202
key=11001101110100      count=202
key=11001110010010      count=201
key=11000000101111      count=201
key=10110110001101      count=201
key=11011000010011      count=201
key=01001000000101      count=201
key=10111011000100      count=200
key=01010000010011      count=200
key=01000101010101      count=200
key=10111000000111      count=200
key=01001101111100      count=199
key=01100010100111      count=199
key=11000001100011      count=199
key=11010010011111      count=199
key=11000100001011      count=199
key=01100111000101      count=199
key=01110011010000      count=199
key=11000111010101      count=199
key=01110010010001      count=199
key=11001010000010      count=198
key=01000010010100      count=198
key=11000110101000      count=198
key=01111101101001      count=198
key=01000101001100      count=198
key=01000110001000      count=198
key=01111010101010      count=198
key=01111011011011      count=198
key=01000101001101      count=198
key=01011110100111      count=198
key=10110000110101      count=198
key=00111101000001      count=198
key=01001000001100      count=198
key=11001011101000      count=198
key=01101101111011      count=198
key=10011101011001      count=198
key=11001011110100      count=197
key=01110101011011      count=197
key=11000110101100      count=197
key=11000000001100      count=197
key=00101001100000      count=196
key=11011000100110      count=196
key=11000000101000      count=196
key=10111000000110      count=196
key=01001111100011      count=196
key=11001000001100      count=196
key=11001000001010      count=195
key=11001100010110      count=195
key=11010000001111      count=195
key=11000011010110      count=195
key=11001011110011      count=195
key=01000010010101      count=195
key=11011000001101      count=195
key=10111100111100      count=195
key=11001011101110      count=194
key=01001010001011      count=194
key=10110100101111      count=194
key=00011000001000      count=194
key=11000010100100      count=194
key=01110111111000      count=194
key=11000100110010      count=194
key=10111101110011      count=194
key=01010001000101      count=193
key=01011111010000      count=193
key=11001100011111      count=193
key=10111110001111      count=193
key=10110001010101      count=193
key=01000001001100      count=193
key=00101001100110      count=193
key=11010010001100      count=193
key=10111010100101      count=192
key=10101000100100      count=192
key=10110001001101      count=192
key=01000010111000      count=192
key=11001100011101      count=191
key=11001010010000      count=191
key=00111110100101      count=191
key=01101011000000      count=190
key=10101101001011      count=190
key=01000101110001      count=190
key=10111010000011      count=190
key=01000010100001      count=190
key=11011000011010      count=189
key=10111010111110      count=189
key=01111001111101      count=189
key=11011000111111      count=188
key=10101101111010      count=188
key=11011000000010      count=188
key=00000101100110      count=188
key=01011011111100      count=188
key=01010101011110      count=188
key=11000010011001      count=188
key=10001110101100      count=188
key=10101101000111      count=187
key=01110101011001      count=187
key=00011000001101      count=187
key=10110010111011      count=187
key=10111110111111      count=187
key=10111110110111      count=187
key=01001010010100      count=187
key=11000011010111      count=187
key=11011000110001      count=186
key=11000111010010      count=186
key=11010010011101      count=185
key=10001000100100      count=185
key=01110011101110      count=185
key=01000000010010      count=185
key=11000010011111      count=185
key=01101101011010      count=185
key=11001011000001      count=185
key=00111101000010      count=185
key=01000000000111      count=184
key=01010000010100      count=184
key=10101101111100      count=184
key=11010010110101      count=183
key=11000011000010      count=183
key=01111101111101      count=183
key=11011001000100      count=183
key=10111010010000      count=182
key=01000101000000      count=182
key=01000001010100      count=182
key=11001011111001      count=182
key=11001101101100      count=181
key=01101110001000      count=181
key=01110100110101      count=181
key=11001011011111      count=181
key=00111101010111      count=181
key=01101110111010      count=181
key=01010111111111      count=181
key=11000100110011      count=181
key=11000001111111      count=181
key=11000111101001      count=180
key=11011000111101      count=180
key=00101001111110      count=180
key=11001011101011      count=180
key=11011001010000      count=180
key=01000010110110      count=180
key=01000100100110      count=180
key=11000001110000      count=179
key=01110111010010      count=179
key=01110001000101      count=179
key=10111101001001      count=179
key=10111100100001      count=179
key=11000111010110      count=179
key=01011011011001      count=179
key=01000101001011      count=178
key=10111011000000      count=178
key=11000010000011      count=178
key=11000000100001      count=178
key=01000010110010      count=178
key=10110001000101      count=178
key=01001101010111      count=177
key=11000111011101      count=177
key=01001000000111      count=177
key=01100010000100      count=177
key=00101001110001      count=177
key=01101101010010      count=176
key=01001100000010      count=176
key=11000111101110      count=176
key=01000101101010      count=176
key=10110000110111      count=176
key=01000101101001      count=176
key=11000011111010      count=176
key=01011011100101      count=176
key=11011000000101      count=176
key=01111011001100      count=176
key=01011011101111      count=176
key=01111101110110      count=176
key=11011101011110      count=176
key=11000100000011      count=176
key=11011001000010      count=175
key=11010000001101      count=175
key=11011111000110      count=175
key=11000100000010      count=175
key=01110100010010      count=175
key=10110110000100      count=174
key=11001100111000      count=174
key=11001011011011      count=174
key=10001100110101      count=174
key=01000101001001      count=174
key=00011011111110      count=174
key=01101100101000      count=173
key=11000110011000      count=173
key=00111111011101      count=173
key=01001111101011      count=173
key=11011000101011      count=172
key=10111010000001      count=172
key=01010001010110      count=172
key=11000000010101      count=172
key=11001011111011      count=172
key=11000011001000      count=172
key=11011001101010      count=172
key=01110000110101      count=172
key=00111111100011      count=171
key=11001010000011      count=171
key=11000011100010      count=171
key=00101001110100      count=171
key=01100010011000      count=171
key=11011001000110      count=171
key=11010011111111      count=170
key=11010000011000      count=170
key=01000000001110      count=170
key=11010001000101      count=170
key=11000111101101      count=170
key=01001011010011      count=170
key=01011001011100      count=170
key=01011111101110      count=170
key=11001011110110      count=169
key=11001000000101      count=169
key=11011001011100      count=169
key=01010000111110      count=169
key=11010000011101      count=169
key=10111010010001      count=169
key=01010011100010      count=169
key=10101111011001      count=169
key=01000001000100      count=169
key=11011001101011      count=168
key=01011100111100      count=168
key=11001011010101      count=168
key=11000001001110      count=168
key=00011111110100      count=168
key=01110000010011      count=168
key=11001011111010      count=168
key=01000000001101      count=168
key=11000010110111      count=168
key=11011000011101      count=167
key=11001111101111      count=167
key=11001000000100      count=167
key=11000000010110      count=167
key=10000011010101      count=167
key=01101101101000      count=167
key=01111101110101      count=167
key=10101110001000      count=167
key=00101110000000      count=167
key=00101001110010      count=167
key=11000111111000      count=166
key=01000001000011      count=166
key=01000000111111      count=166
key=11011000100100      count=166
key=01101111011101      count=166
key=11001001001101      count=166
key=01011011101110      count=166
key=10010100110101      count=166
key=11001011111000      count=166
key=10001100110110      count=165
key=00100110011001      count=165
key=11000010100110      count=165
key=11011000110111      count=165
key=10101101111101      count=165
key=01000011100011      count=165
key=11010001100101      count=165
key=01000000100010      count=165
key=11011001000011      count=165
key=11000110101101      count=165
key=11010001101000      count=164
key=11000110101110      count=164
key=11000000100101      count=164
key=00101001100010      count=164
key=01000100101010      count=164
key=11001101101001      count=164
key=11000000101001      count=164
key=11000111001001      count=163
key=10100110010100      count=163
key=01000000001011      count=163
key=10111010000100      count=163
key=01011010100101      count=163
